Name,Emotion,Side,Dialogue
卡洛,Karol_Angry,L,該死……又是同樣的惡夢，而且最近還越來越頻繁
卡洛,Karol_Extra,L,昨晚蒐集物資以後就在這工廠睡著了……仔細一看這裡還挺大的，應該可以搜刮一下
？？？,Earth_Base,R,求求你……去拯救工廠外……那唯一的潔白之人……
卡洛,Karol_Shock,L,嗯？剛剛那是……？
卡洛,Karol_Base,L,大概是幻聽吧……還是專心尋找物資吧
,,,
卡洛,Karol_Sad,L,運氣真夠背的……
卡洛,Karol_Extra,L,唉……只好走這了
,,,
卡洛,Karol_Shock,L,數量還這麼多嗎？
卡洛,Karol_Happy,L,不過物資已經蒐集到了，還是及早脫離這裡吧……
卡洛,Karol_Shock,L,應該是往那個方向吧……那個是？
,,,
？？？,Earth_Base,R,就在前面了……請出手拯救她
卡洛,Karol_Shock,L,到底是誰？
卡洛,Karol_Angry,L,不管是誰但是你聽好了，我是自己想離開工廠的，別一廂情願地認為我是在聽從你的指示！
卡洛,Karol_Extra,L,又安靜下來了？唉……這樣對空氣叫囂也真夠蠢的
,,,
安提菈,Iterra_Shock,R2,你手臂上的烙印……該不會是！
嗜血者,Blood_Happy,R,哈哈哈哈─都已經給妳時間逃跑了，沒想到妳還能再撞見另一個嗜血者，妳這運氣也夠差的……
嗜血者,Blood_Base,R,不過我說你啊，我特准你可以站在那邊觀賞我的狩獵時間，但可別打擾我啊。
卡洛,Karol_Angry,L,……
嗜血者,Blood_Happy,R,呿，真是冷漠，明明同屬組織，哼哈哈哈……
卡洛,Karol_Angry,L,……
嗜血者,Blood_Extra,R,握拳的樣子真是可怕啊……你應該是為了尋求庇護才加入組織的吧？千萬不要衝動啊……否則你也會跟那女人一樣變成組織狩獵的目標。
嗜血者,Blood_Happy,R,倒是妳，該說妳蠢還是認命呢？這段時間居然不設法逃跑，我原本還想多享受一下追捕的快感呢……
安提菈,Iterra_Angry,R2,烙印讓你很難受吧？我有讓你擺脫它的方法。
卡洛,Karol_Happy,L,這種情況還能開玩笑，你也挺樂觀的
安提菈,Iterra_Sad,R2,我能幫你找到那個在你身上留下烙印的人，但是如你所見，我現在需要你的幫助。
卡洛,Karol_Base,L,哼……要我為了一個將死之人的說詞而違反組織規範，換成妳，妳要做嗎？
安提菈,Iterra_Angry,R2,所以你甘願就這樣？委身在組織規範之下，時不時被惡夢驚醒？
卡洛,Karol_Shock,L,我！
卡洛,Karol_Angry,L,……
嗜血者,Blood_Happy,R,你們倒是聊得挺開心的啊？不過我可沒打算等你們聊完，正戲開始！
卡洛,Karol_Base,L,(打斷攻擊)
嗜血者,Blood_Extra,R,這不是一個明智的選擇，看來我得多狩獵一個人了……
卡洛,Karol_Angry,L,是否明智不是你來決定，對我來說是就好了。
,,,
嗜血者,Blood_Angry,R,呼……你一定會後悔的，尤其是為了那個女人
卡洛,Karol_Base,L,說完了嗎？
嗜血者,Blood_Sad,R,咳啊─你絕對……無法違抗……
卡洛,Karol_Base,L,好了，接下來輪到你說了，該怎麼擺脫這個烙印？還有那個刻下烙印的人的事情你又知道多少？
安提菈,Iterra_Base,R,那個烙印是由邪惡之人所刻下的，唯有打倒他才能擺脫那個烙印，而他也是我族裡的預言中要淨化的對象。
卡洛,Karol_Angry,L,聽著，我救妳不是為了聽這種狗屁言論
安提菈,Iterra_Sad,R,你不相信就算啦─ 真可惜呢……
卡洛,Karol_Shock,L,慢著！你就這樣對待一個救命恩人？
安提菈,Iterra_Happy,R,這麼說好了，這位邪惡之人潛伏在你們組織內，如果你想擺脫烙印，遲早都得殺了他並違反組織規範，而你的確也出手且說了不甘願現況不是嗎？
卡洛,Karol_Angry,L,你這個愛算計的女人……
安提菈,Iterra_Angry,R,很明顯我們還沒辦法信任彼此，但我們利害關係一致，一起行動才是上策，況且我的能力也能為你派上用場。
卡洛,Karol_Sad,L,……
安提菈,Iterra_Happy,R,在這裡猶豫只是讓嗜血者更快找上你而已，認命吧，其它的有機會再向你解釋。
卡洛,Karol_Extra,L,唉……那走吧……
