Name,Emotion,Dialogue
卡洛,Karol_Extra,獵人也來這裡紮營嗎？真麻煩……我可不想與他們為敵
卡洛,Karol_Base,還是低調地快速通過吧
,,
獵人,Hunter_Angry,這裡居然也有嗜血者？那就只好剷除了！
卡洛,Karol_Extra,這到底是多背的運氣……
,,
卡洛,Karol_Base,到底是誰沒事會在各處擺滿箱子，又在裡面放補給品？
,,
獵人,Hunter_Shock,火車被拉起了？
獵人,Hunter_Angry,是誰在那！
,,
嗜血者,Blood_Shock,該死的，你知道你在做什麼嗎？
卡洛,Karol_Angry,我在做對的選擇
嗜血者,Blood_Angry,愚蠢至極，你什麼也不知道，這女人可是……
卡洛,Karol_Angry,我不需要知道，我只是不甘願這樣下去罷了。
嗜血者,Blood_Extra,到頭來還是聽進那女人的話嘛……蠢貨！既然選擇加入組織就給我認清自己的身分！你只需要服從！
卡洛,Karol_Angry,住口！
,,
卡洛,Karol_Base,所以是你在呼喚我嗎？
安提菈,Iterra_Shock,呼喚什麼？
卡洛,Karol_Extra,沒……沒事，當我沒說
安提菈,Iterra_Extra,唉……難道就不能是個正常人救我嗎？
卡洛,Karol_Angry,嫌棄嗜血者嗎？還真是抱歉！
安提菈,Iterra_Happy,我不是那個意思，我只是想說你是個怪人
卡洛,Karol_Extra,算計別人的女人實在沒資格批評……
,,
卡洛,Karol_Shock,這是往森林的方向？
安提菈,Iterra_Base,是的，組織位在惡魔島，穿越這片森林是最快的捷徑
安提菈,Iterra_Shock,難不成……你害怕了？
卡洛,Karol_Angry,妳才該害怕我殺了妳，還有妳是不是該說出邪惡之人是誰了？
安提菈,Iterra_Happy,別急，也許在森林裡我心血來潮就會告訴你也說不定
卡洛,Karol_Sad,就不要因此而暴露了行蹤
安提菈,Iterra_Happy,沒關係吧？反正你注定要被追殺了不是嗎？
卡洛,Karol_Angry,你這女人真是……
卡洛,Karol_Extra,唉……我這該死的運氣
